日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/03/18 06:00:00,111.382,111.402,111.365,111.397,111.406,111.426,111.395,111.421
2016/03/18 06:01:00,111.397,111.397,111.375,111.382,111.421,111.423,111.421,111.422
2016/03/18 06:02:00,111.382,111.395,111.362,111.363,111.422,111.428,111.386,111.387
2016/03/18 06:03:00,111.363,111.374,111.349,111.358,111.387,111.396,111.378,111.382
2016/03/18 06:04:00,111.358,111.372,111.358,111.369,111.382,111.394,111.382,111.384
2016/03/18 06:05:00,111.369,111.392,111.367,111.389,111.384,111.416,111.384,111.404
2016/03/18 06:06:00,111.389,111.402,111.388,111.402,111.404,111.418,111.403,111.417
2016/03/18 06:07:00,111.402,111.402,111.393,111.395,111.417,111.417,111.408,111.41
2016/03/18 06:08:00,111.395,111.395,111.392,111.393,111.41,111.418,111.408,111.417
2016/03/18 06:09:00,111.393,111.398,111.393,111.394,111.417,111.422,111.417,111.418
2016/03/18 06:10:00,111.394,111.408,111.394,111.399,111.418,111.42,111.402,111.402
2016/03/18 06:11:00,111.399,111.402,111.395,111.395,111.402,111.405,111.398,111.398
2016/03/18 06:12:00,111.395,111.396,111.388,111.39,111.398,111.399,111.391,111.393
2016/03/18 06:13:00,111.39,111.394,111.39,111.394,111.393,111.397,111.393,111.397
2016/03/18 06:14:00,111.394,111.398,111.391,111.398,111.397,111.401,111.394,111.401
2016/03/18 06:15:00,111.398,111.399,111.394,111.397,111.401,111.402,111.397,111.4
2016/03/18 06:16:00,111.397,111.397,111.393,111.396,111.4,111.4,111.396,111.399
2016/03/18 06:17:00,111.396,111.397,111.394,111.396,111.399,111.4,111.397,111.399
2016/03/18 06:18:00,111.396,111.403,111.394,111.402,111.399,111.406,111.397,111.405
2016/03/18 06:19:00,111.402,111.405,111.402,111.403,111.405,111.408,111.405,111.406
2016/03/18 06:20:00,111.403,111.405,111.402,111.402,111.406,111.408,111.405,111.405
2016/03/18 06:21:00,111.402,111.411,111.394,111.394,111.405,111.425,111.403,111.423
2016/03/18 06:22:00,111.394,111.409,111.392,111.409,111.423,111.424,111.408,111.412
2016/03/18 06:23:00,111.409,111.409,111.393,111.396,111.412,111.427,111.406,111.427
2016/03/18 06:24:00,111.396,111.399,111.389,111.393,111.427,111.428,111.419,111.422
2016/03/18 06:25:00,111.393,111.41,111.39,111.407,111.422,111.425,111.408,111.41
2016/03/18 06:26:00,111.407,111.409,111.395,111.399,111.41,111.427,111.41,111.424
2016/03/18 06:27:00,111.399,111.412,111.399,111.411,111.424,111.424,111.409,111.414
