日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/05/31 06:00:00,111.099,111.102,111.097,111.102,111.138,111.138,111.133,111.138
2016/05/31 06:01:00,111.102,111.139,111.102,111.126,111.138,111.154,111.136,111.15
2016/05/31 06:02:00,111.126,111.138,111.123,111.127,111.15,111.157,111.147,111.151
2016/05/31 06:03:00,111.127,111.131,111.123,111.125,111.151,111.155,111.147,111.149
2016/05/31 06:04:00,111.125,111.133,111.121,111.127,111.149,111.157,111.136,111.151
2016/05/31 06:05:00,111.127,111.127,111.124,111.124,111.151,111.151,111.148,111.148
2016/05/31 06:06:00,111.124,111.124,111.121,111.122,111.148,111.148,111.145,111.146
2016/05/31 06:07:00,111.122,111.123,111.121,111.121,111.146,111.147,111.145,111.145
2016/05/31 06:08:00,111.121,111.125,111.121,111.125,111.145,111.149,111.145,111.149
2016/05/31 06:09:00,111.125,111.125,111.122,111.122,111.149,111.149,111.146,111.146
2016/05/31 06:10:00,111.122,111.136,111.109,111.134,111.146,111.15,111.131,111.137
2016/05/31 06:11:00,111.134,111.135,111.118,111.127,111.137,111.159,111.134,111.158
2016/05/31 06:12:00,111.127,111.137,111.122,111.127,111.158,111.16,111.139,111.158
2016/05/31 06:13:00,111.127,111.138,111.123,111.137,111.158,111.16,111.139,111.14
2016/05/31 06:14:00,111.137,111.137,111.119,111.133,111.14,111.154,111.136,111.136
2016/05/31 06:15:00,111.133,111.144,111.132,111.137,111.136,111.147,111.135,111.14
2016/05/31 06:16:00,111.137,111.145,111.126,111.131,111.14,111.16,111.14,111.156
2016/05/31 06:17:00,111.131,111.142,111.125,111.128,111.156,111.159,111.141,111.158
2016/05/31 06:18:00,111.128,111.131,111.127,111.129,111.158,111.158,111.156,111.157
2016/05/31 06:19:00,111.129,111.129,111.125,111.126,111.157,111.16,111.156,111.157
2016/05/31 06:20:00,111.126,111.133,111.126,111.131,111.157,111.163,111.157,111.16
2016/05/31 06:21:00,111.131,111.132,111.129,111.13,111.16,111.162,111.158,111.159
2016/05/31 06:22:00,111.13,111.135,111.129,111.133,111.159,111.162,111.156,111.16
